question,option1,option2,option3,option4,option5,answer
Which process is essential to prevent breakdown of organised living structures?,Respiration,Repair and maintenance,Nutrition,Movement,None of the above,B
Statement 1: Molecular movement is necessary for life. Statement 2: Viruses show molecular movement outside host.,Statement 1 true Statement 2 false,Statement 1 false Statement 2 true,Both statements true,More than one of the above,None of the above,A
Why is diffusion insufficient in multicellular organisms?,Longer distances,Increased body size,Cells not in direct contact with environment,More than one of the above,None of the above,D
Which are life processes?,Nutrition,Respiration,Excretion,More than one of the above,None of the above,D
Outside raw materials required by organisms include,Oxygen,Water,Food,More than one of the above,None of the above,D
Autotrophs differ from heterotrophs because they,Make own food,Use inorganic raw materials,Have chlorophyll,More than one of the above,None of the above,D
Photosynthesis requires,Carbon dioxide,Water,Sunlight,More than one of the above,None of the above,D
Statement 1: Chlorophyll absorbs light energy. Statement 2: Starch is formed only in non-green parts of leaf.,Statement 1 true Statement 2 false,Statement 1 false Statement 2 true,Both statements true,More than one of the above,None of the above,A
Potassium hydroxide is used in photosynthesis experiment to absorb,Oxygen,Carbon dioxide,Water vapour,More than one of the above,None of the above,B
Stomatal opening is controlled by,Guard cells,Chloroplasts,Epidermis,More than one of the above,None of the above,A
Heterotrophic nutrition is seen in,Animals,Fungi,Parasites,More than one of the above,None of the above,D
Amoeba takes food by,Diffusion,Osmosis,Endocytosis,More than one of the above,None of the above,C
Salivary amylase acts on,Proteins,Fats,Starch,More than one of the above,None of the above,C
Role of hydrochloric acid in stomach is,Kill bacteria,Activate pepsin,Provide acidic medium,More than one of the above,None of the above,D
Which enzyme digests proteins in stomach?,Trypsin,Pepsin,Amylase,More than one of the above,None of the above,B
Herbivores have longer small intestine because,Cellulose digestion takes time,Protein digestion slow,More absorption needed,More than one of the above,None of the above,A
Bile juice helps in,Fat emulsification,Neutralising acid,Increasing enzyme action,More than one of the above,None of the above,D
Villi in small intestine increase,Surface area for absorption,Digestion rate,Peristalsis speed,Movement of food,None of the above,A
Anaerobic respiration in yeast produces,Ethanol,Carbon dioxide,Energy,More than one of the above,None of the above,D
Muscle cramps occur due to accumulation of,Lactic acid,Pyruvate,Carbon dioxide,More than one of the above,None of the above,A
ATP is called energy currency because it,Stores energy,Releases energy on breakdown,Drives cell reactions,More than one of the above,None of the above,D
Plants exchange gases mainly through,Stomata,Lenticels,Roots,More than one of the above,None of the above,D
Fish breathe faster than humans because,Less oxygen in water,Low diffusion rate,High energy need,More than one of the above,None of the above,A
Alveoli are efficient for gas exchange due to,Large surface area,Thin walls,Rich blood supply,More than one of the above,None of the above,D
Oxygen is transported in blood mainly by,Plasma,RBCs,Platelets,More than one of the above,None of the above,B
Haemoglobin has high affinity for,Oxygen,Carbon dioxide,Nitrogen,More than one of the above,None of the above,A
Double circulation is seen in,Humans,Birds,Amphibians,More than one of the above,None of the above,A
Statement 1: Arteries have thick walls. Statement 2: Veins carry blood under high pressure.,Statement 1 true Statement 2 false,Statement 1 false Statement 2 true,Both statements true,More than one of the above,None of the above,A
Capillaries are suited for exchange because they are,One-cell thick,Highly branched,Thin walled,More than one of the above,None of the above,D
Blood clotting is helped by,Platelets,RBCs,WBCs,More than one of the above,None of the above,A
Lymph differs from blood because it has,Less protein,No RBCs,Colourless,More than one of the above,None of the above,D
Xylem transports,Water,Minerals,Upward movement only,More than one of the above,None of the above,D
Transpiration helps in,Water absorption,Cooling,Upward water movement,More than one of the above,None of the above,D
Phloem transport requires,ATP,Osmotic pressure,Companion cells,More than one of the above,None of the above,D
Transport of food in plants is called,Transpiration,Translocation,Diffusion,More than one of the above,None of the above,B
Nitrogenous wastes are removed in humans by,Lungs,Kidneys,Skin,More than one of the above,None of the above,B
Functional unit of kidney is,Neuron,Nephron,Alveolus,More than one of the above,None of the above,B
Selective reabsorption occurs in,Bowman’s capsule,Nephron tubule,Ureter,More than one of the above,None of the above,B
Urine is temporarily stored in,Ureter,Bladder,Kidney,More than one of the above,None of the above,B
Artificial kidney works on principle of,Filtration,Diffusion,Osmosis,More than one of the above,None of the above,B
Plants excrete wastes by,Transpiration,Leaf fall,Resins and gums,More than one of the above,None of the above,D
Statement 1: Oxygen is waste in plants. Statement 2: Plants lack excretory organs.,Statement 1 true Statement 2 true,Statement 1 false Statement 2 true,Statement 1 true Statement 2 false,More than one of the above,None of the above,A
Which process is common to all living beings?,Respiration,Nutrition,Excretion,None of the above,None of the above,D
Which is NOT a life process?,Growth,Movement,Reproduction,None of the above,None of the above,D
ATP releases energy when,Terminal phosphate bond breaks,ADP is formed,Water is used,More than one of the above,None of the above,D
Gas exchange in plants during night mainly involves,Oxygen intake,CO₂ release,Respiration only,More than one of the above,None of the above,D
Which structure prevents backflow of blood?,Valves,Capillaries,Arteries,More than one of the above,None of the above,A
Normal human blood pressure is,120/80 mm Hg,80/120 mm Hg,140/90 mm Hg,More than one of the above,None of the above,A
A student keeps a potted plant in darkness for 3 days and then exposes it to sunlight. After iodine test only green parts turn blue-black. What does this show?,Sunlight is essential,Chlorophyll is essential,CO2 is essential,More than one of the above,None of the above,B
An Amoeba engulfs food using pseudopodia and forms a food vacuole. Which process is involved?,Diffusion,Osmosis,Endocytosis,More than one of the above,None of the above,C
A person eats excess sugar regularly and does not brush teeth. After some time tooth decay occurs. What is the main cause?,Bacterial acid production,Low saliva,Hard enamel,More than one of the above,None of the above,A
A fish breathes faster than a human in normal conditions. What is the main reason?,Low oxygen in water,High metabolism,Cold-blooded nature,More than one of the above,None of the above,A
A student observes muscle cramps after intense exercise. Which pathway caused this?,Aerobic respiration,Fermentation,Lactic acid formation,Alcohol formation,None of the above,C
A leaf is coated with petroleum jelly on both sides and kept in sunlight. Starch test is negative. Why?,No transpiration,No gas exchange,No chlorophyll activity,More than one of the above,None of the above,B
During dialysis blood is passed through semi-permeable tubes. Which kidney function is mimicked?,Filtration,Reabsorption,Secretion,More than one of the above,None of the above,A
A gardener notices wilting of plants during hot afternoon. Which process is mainly responsible?,Transpiration,Osmosis,Diffusion,More than one of the above,None of the above,A
A patient has damaged alveoli. Which function will be affected most?,Digestion,Gas exchange,Blood circulation,More than one of the above,None of the above,B
In an experiment lime water turns milky faster when exhaled air is passed. What does it indicate?,More CO2 in inhaled air,More CO2 in exhaled air,Less oxygen in air,More than one of the above,None of the above,B
A deshelled egg swells in pure water. Which process causes this?,Diffusion,Osmosis,Active transport,More than one of the above,None of the above,B
A plant stores food in roots during winter and transports it to buds in spring. Which tissue is involved?,Xylem,Phloem,Cambium,More than one of the above,None of the above,B
A student cuts ring of bark from a tree trunk. After few days upper part swells. Why?,Xylem damaged,Phloem blocked,Transpiration stopped,More than one of the above,None of the above,B
A patient suffers from anaemia. Which transport function is reduced?,Oxygen transport,CO2 transport,Nutrient transport,More than one of the above,None of the above,A
