question,option1,option2,option3,option4,option5,answer
Milk turning sour in summer is an example of which change?,Physical change,Chemical change,Reversible change,None of the above,All of the above,B
Rusting of an iron nail kept in moist air indicates which observation?,Change in colour,Evolution of gas,Change in temperature,None of the above,All of the above,A
Fermentation of grapes into wine mainly represents which type of reaction?,Combination reaction,Decomposition reaction,Chemical change,None of the above,All of the above,C
Burning of magnesium ribbon results in formation of which substance?,Magnesium hydroxide,Magnesium carbonate,Magnesium oxide,None of the above,All of the above,C
Which observation confirms a chemical reaction has occurred?,Gas evolution,Colour change,Temperature change,State change,All of the above,E
The substances present on the left-hand side of a chemical equation are called?,Products,Compounds,Catalysts,Reactants,All of the above,D
A chemical equation that is not balanced is known as?,Word equation,Skeletal equation,Ionic equation,None of the above,All of the above,B
Law of conservation of mass states that?,Mass is created,Mass is destroyed,Mass remains conserved,None of the above,All of the above,C
Which element is oxidised when magnesium burns in air?,Oxygen,Magnesium,Nitrogen,None of the above,All of the above,B
Which symbol represents aqueous state?,s,l,g,aq,All of the above,D
Which reaction shows combination reaction?,CaO + H2O → Ca(OH)2,CaCO3 → CaO + CO2,Zn + HCl → ZnCl2 + H2,None of the above,All of the above,A
Respiration is classified as which type of reaction?,Endothermic,Exothermic,Neutralisation,None of the above,All of the above,B
Which reaction releases heat?,Photosynthesis,Respiration,Electrolysis of water,None of the above,All of the above,B
Decomposition reactions require energy in the form of?,Heat,Light,Electricity,None,All of the above,E
Heating ferrous sulphate crystals gives which gases?,CO2 only,SO2 only,SO3 only,SO2 and SO3,All of the above,D
White silver chloride turns grey in sunlight due to?,Combination reaction,Displacement reaction,Photochemical decomposition,None of the above,All of the above,C
Electrolysis of water produces which gases?,Hydrogen and oxygen,Hydrogen only,Oxygen only,None of the above,All of the above,A
The gas collected in double volume during electrolysis of water is?,Oxygen,Nitrogen,Hydrogen,None of the above,All of the above,C
"When iron is dipped in copper sulphate solution, the blue colour fades because?",Copper is oxidised,Iron is reduced,Iron displaces copper,None of the above,All of the above,C
The reaction Fe + CuSO4 → FeSO4 + Cu is an example of?,Combination reaction,Double displacement,Displacement reaction,None of the above,All of the above,C
A reaction producing an insoluble solid is called?,Neutralisation,Precipitation reaction,Combination reaction,None of the above,All of the above,B
Na2SO4 + BaCl2 → BaSO4 + NaCl is a?,Displacement reaction,Combination reaction,Double displacement reaction,None of the above,All of the above,C
In oxidation a substance?,Gains oxygen,Loses hydrogen,Loses oxygen,Gains hydrogen,All of the above,E
Reduction involves?,Gain of oxygen,Loss of hydrogen,Loss of oxygen,Gain of hydrogen,All of the above,E
"In CuO + H2 → Cu + H2O, CuO is?",Oxidised,Reduced,Unchanged,None of the above,All of the above,B
Which substance is oxidised in ZnO + C → Zn + CO?,Zinc oxide,Carbon,Zinc,None of the above,All of the above,B
Corrosion of iron is commonly known as?,Oxidation,Rusting,Rancidity,None of the above,All of the above,B
Black coating on silver is due to formation of?,Silver oxide,Silver sulphide,Silver chloride,None of the above,All of the above,B
Green coating on copper is?,Copper oxide,Copper sulphide,Basic copper carbonate,None of the above,All of the above,C
Rancidity occurs due to?,Oxidation of fats,Reduction of oils,Hydrolysis,None of the above,All of the above,A
Flushing food packets with nitrogen prevents?,Reduction,Oxidation,Rusting,None of the above,All of the above,B
Which reaction absorbs energy?,Combustion,Respiration,Photosynthesis,None of the above,All of the above,C
Which change is always associated with chemical reactions?,Formation of new substance,Change in mass,Reversibility,None of the above,All of the above,A
Balanced chemical equation must have?,Equal atoms on both sides,Same mass on both sides,Law of conservation of mass followed,Correct formulae,All of the above,E
Which reaction is endothermic?,Thermal decomposition of CaCO3,Burning of coal,Respiration,None of the above,All of the above,A
Whitewashing involves which compound?,CaO,Ca(OH)2,CaCO3,None of the above,All of the above,B
Ca(OH)2 reacts with CO2 to form?,Calcium oxide,Calcium carbonate,Calcium chloride,None of the above,All of the above,B
Which type of reaction is opposite of combination reaction?,Displacement,Decomposition,Redox,None of the above,All of the above,B
Which reaction involves exchange of ions?,Combination,Double displacement,Decomposition,None of the above,All of the above,B
Lead nitrate on heating produces?,PbO,NO2,O2,All products together,All of the above,E
Which gas turns lime water milky?,Oxygen,Hydrogen,Carbon dioxide,None of the above,All of the above,C
Which reaction shows both oxidation and reduction?,Combination reaction,Decomposition reaction,Redox reaction,None of the above,All of the above,C
Which observation confirms gas evolution?,Bubble formation,Sound production,Colour change,None of the above,All of the above,A
A word equation uses?,Symbols only,Formulae only,Words only,None of the above,All of the above,C
Which reaction is used in photography?,Decomposition of AgCl,Displacement of Cu,Combination of CaO,None of the above,All of the above,A
Chemical reactions involve?,Breaking of bonds,Formation of bonds,Energy change,New substances,All of the above,E
Which factor is NOT necessary to balance equations?,Correct formulae,Conservation of mass,Same atoms count,Same number of molecules,All of the above,D
A student leaves milk outside during summer. After some time it smells sour. What best explains this change?,Physical change,Chemical reaction caused by bacteria,Evaporation of water,Cooling effect,All of the above,B
