question,option1,option2,option3,option4,option5,answer
Which property allows metals to be beaten into thin sheets?,Ductility,Malleability,Sonority,None of the above,All of the above,B
Which metal is liquid at room temperature?,Sodium,Iron,Mercury,None of the above,All of the above,C
Which metal is the best conductor of electricity?,Copper,Silver,Aluminium,None of the above,All of the above,B
Why are electric wires coated with PVC?,PVC conducts electricity,PVC is cheap,PVC is an insulator,None of the above,All of the above,C
Which non-metal is lustrous?,Sulphur,Carbon,Iodine,None of the above,All of the above,C
Which allotrope of carbon conducts electricity?,Diamond,Coal,Graphite,None of the above,All of the above,C
Which metal can be cut easily with a knife?,Iron,Aluminium,Sodium,None of the above,All of the above,C
Why are metals sonorous?,They reflect light,They are shiny,They produce sound on striking,None of the above,All of the above,C
Which oxide is amphoteric?,Na₂O,CaO,Al₂O₃,None of the above,All of the above,C
Which metals are stored in kerosene?,Iron and copper,Sodium and potassium,Aluminium and zinc,None of the above,All of the above,B
Which metal reacts violently with cold water?,Iron,Magnesium,Sodium,None of the above,All of the above,C
Which metal reacts with steam but not cold water?,Calcium,Iron,Sodium,None of the above,All of the above,B
Which metal does NOT react with water at all?,Zinc,Iron,Copper,None of the above,All of the above,C
Metal + dilute acid produces?,Salt + oxygen,Base + hydrogen,Salt + hydrogen,None of the above,All of the above,C
Which acid does not liberate hydrogen with metals?,HCl,H₂SO₄,Very dilute HNO₃,Concentrated HNO₃,None of the above,D
Which metal displaces copper from CuSO₄ solution?,Silver,Gold,Iron,None of the above,All of the above,C
The most reactive metal in the activity series is?,Copper,Iron,Potassium,None of the above,All of the above,C
Which metals are found in free state in nature?,Sodium and potassium,Iron and zinc,Gold and silver,None of the above,All of the above,C
Which process converts sulphide ores into oxides?,Calcination,Roasting,Electrolysis,None of the above,All of the above,B
Which process is used for carbonate ores?,Roasting,Smelting,Calcination,None of the above,All of the above,C
Which reducing agent is used in thermit reaction?,Carbon,Hydrogen,Aluminium,None of the above,All of the above,C
Thermit reaction is used for?,Welding railway tracks,Extracting sodium,Electroplating,None of the above,All of the above,A
Which metal is extracted by electrolytic reduction?,Iron,Copper,Aluminium,None of the above,All of the above,C
Which compound is used as electrolyte in refining copper?,Copper oxide,Copper chloride,Acidified CuSO₄,None of the above,All of the above,C
"In electrolytic refining, impurities settle as?",Cathode mud,Anode mud,Electrolyte residue,None of the above,All of the above,B
Which ion carries current in molten ionic compounds?,Electrons only,Ions only,Atoms only,None of the above,All of the above,B
Why do ionic compounds have high melting points?,Weak bonding,Strong electrostatic force,Low density,None of the above,All of the above,B
Which property is NOT shown by non-metals?,Ductility,Malleability,Conductivity,All of the above,None of the above,D
Which metal oxide is basic in nature?,CO₂,SO₂,CuO,None of the above,All of the above,C
Which metal forms a protective oxide layer?,Iron,Aluminium,Sodium,None of the above,All of the above,B
Why does iron rust only in presence of air and water?,Oxygen only,Water only,Both air and water,None of the above,All of the above,C
Which method prevents rusting by coating zinc?,Painting,Alloying,Galvanisation,None of the above,All of the above,C
Which alloy is used for soldering?,Brass,Bronze,Solder,None of the above,All of the above,C
Which alloy does not rust easily?,Cast iron,Steel,Stainless steel,None of the above,All of the above,C
Which metal is used to make bells?,Zinc,Lead,Iron,Copper,All of the above,D
Which metal has lowest melting point?,Iron,Aluminium,Mercury,None of the above,All of the above,C
Which non-metal is liquid at room temperature?,Iodine,Chlorine,Bromine,None of the above,All of the above,C
Which reaction shows displacement?,Zn + CuSO₄,Na + H₂O,Ca + O₂,None of the above,All of the above,A
Which metal does NOT react with dilute HCl?,Zinc,Iron,Copper,None of the above,All of the above,C
Which metal floats on water due to hydrogen bubbles?,Calcium,Iron,Aluminium,None of the above,All of the above,A
Which metal is least reactive?,Gold,Silver,Copper,None of the above,All of the above,A
Which gas is released when metal reacts with acid?,Oxygen,Nitrogen,Hydrogen,None of the above,All of the above,C
Which metal oxide dissolves in water to form alkali?,CuO,Fe₂O₃,Na₂O,None of the above,All of the above,C
Which process removes gangue from ore?,Refining,Enrichment,Smelting,None of the above,All of the above,B
Which is an example of electrovalent compound?,HCl,NaCl,CO₂,None of the above,All of the above,B
Which property explains brittleness of ionic compounds?,Weak forces,Strong attraction,Free electrons,None of the above,All of the above,B
Which metal is used for galvanisation?,Iron,Copper,Zinc,None of the above,All of the above,C
Which compound conducts electricity in molten state?,Covalent compound,Ionic compound,Metal oxide,None of the above,All of the above,B
A student observes that a shiny metal can be beaten into thin sheets without breaking. Which property explains this?,Ductility,Malleability,Sonority,None of the above,All of the above,B
A metal wire allows electric current to pass easily and gets heated quickly. Which property is responsible?,Malleability,Ductility,Electrical conductivity,None of the above,All of the above,C
A spoon made of a metal produces a ringing sound when struck on a hard surface. This property is called?,Ductility,Sonority,Malleability,None of the above,All of the above,B
A metal reacts violently with cold water and catches fire. Which metal shows this behaviour?,Iron,Magnesium,Sodium,None of the above,All of the above,C
A metal starts floating on water due to bubbles sticking to its surface during reaction. Which gas causes this?,Oxygen,Nitrogen,Hydrogen,None of the above,All of the above,C
A metal does not react with cold or hot water but reacts with steam. Identify the metal.,Sodium,Iron,Potassium,None of the above,All of the above,B
